,wl,power
634,934,0.1066431415369145
635,935,0.1865068626397263
636,936,0.12036472524287425
637,937,0.12217464521461077
638,938,0.15034933270876594
639,939,0.2996670117482553
640,940,0.35506827671961894
641,941,0.2802291226567739
642,942,0.3056765952521314
643,943,0.20998109801757373
644,944,0.21567111748560236
645,945,0.2779841549334451
646,946,0.1469877030256496
647,947,0.28048001906321934
648,948,0.20744604993302754
649,949,0.3740108939653044
650,950,0.11159694095299046
651,951,0.36693539989007884
652,952,0.2040474096761148
653,953,0.2607600669447151
654,954,0.3218367459299754
655,955,0.2587442750094579
656,956,0.24876791641535523
657,957,0.2050586532275071
658,958,0.34911206140176954
659,959,0.2830458365627439
660,960,0.318594431601
661,961,0.34941680579560974
662,962,0.3348769841266882
663,963,0.3831135718511322
664,964,0.3480503031068813
665,965,0.3823178152996137
666,966,0.38157534807655935
667,967,0.3809951590635708
668,968,0.49403724918863084
669,969,0.5193324101851612
670,970,0.4796819800927797
671,971,0.539001821119749
672,972,0.5188253721641046
673,973,0.45736928649090336
674,974,0.4337700241878754
675,975,0.4449619396523138
676,976,0.43160652663404026
677,977,0.4822243585438495
678,978,0.4647028697633908
679,979,0.4823353117936037
680,980,0.45704486683282375
681,981,0.5392139355233074
682,982,0.5231306717679006
683,983,0.5052573071850601
684,984,0.5570808545427401
685,985,0.5202088665515013
686,986,0.5678626633705365
687,987,0.5596337640975356
688,988,0.5568354135628868
689,989,0.5685244014898888
690,990,0.5563667096964706
691,991,0.5731425998538733
692,992,0.5715350146067831
693,993,0.5607754572556931
694,994,0.573258581035055
695,995,0.5705430885509297
696,996,0.5670423998676644
697,997,0.5588599978977552
698,998,0.5565042609893686
699,999,0.5545551612198948
700,1000,0.5503409835782199
701,1001,0.55523809777822
702,1002,0.5411566756706807
703,1003,0.5435602627307063
704,1004,0.5328535117489963
705,1005,0.49981874035806684
706,1006,0.5186153297146665
707,1007,0.525650658922
708,1008,0.5210169132716913
709,1009,0.5111182973855884
710,1010,0.5059225356822061
711,1011,0.5042175788556046
712,1012,0.4976193756042857
713,1013,0.4930216249568131
714,1014,0.49408619754021815
715,1015,0.48507975521414537
716,1016,0.48708099582659437
717,1017,0.48540931193992753
718,1018,0.49670679876999985
719,1019,0.48351445472481985
720,1020,0.49709287212230197
721,1021,0.5055349572616904
722,1022,0.5031564271799999
723,1023,0.513392621752
724,1024,0.516339345852
725,1025,0.5262586606736787
726,1026,0.5294961550770002
727,1027,0.5310799354162503
728,1028,0.5334266405743816
729,1029,0.5291450704439575
730,1030,0.5338430119232395
731,1031,0.5315027754726761
732,1032,0.532023082229155
733,1033,0.5229986612855789
734,1034,0.5259693094752632
735,1035,0.5275235254562105
736,1036,0.5271633643114285
737,1037,0.5216402612122997
738,1038,0.5190550570058536
739,1039,0.5224531656549481
740,1040,0.518571628284083
741,1041,0.5183359967559862
742,1042,0.5180010273103448
743,1043,0.5121560404396551
744,1044,0.5138824169251724
745,1045,0.5102390811532878
746,1046,0.4961754533966438
747,1047,0.5029597051617124
748,1048,0.5068851969982313
749,1049,0.5035270300065305
750,1050,0.4997543436369388
751,1051,0.5000110247521357
752,1052,0.49678484232894915
753,1053,0.4951163684993898
754,1054,0.4929471463023569
755,1055,0.4943964319228956
756,1056,0.4927427377484849
757,1057,0.49132232789657715
758,1058,0.48605287666382546
759,1059,0.47105084314177853
760,1060,0.483793263378
761,1061,0.47238424374279997
762,1062,0.48081612538213336
763,1063,0.47283916929526487
764,1064,0.4799361690459603
765,1065,0.47761425348804637
766,1066,0.46846038464141454
767,1067,0.47084169977421053
768,1068,0.47013361173394735
769,1069,0.44492398556931145
770,1070,0.45888370542347534
771,1071,0.46790179026898354
772,1072,0.4668777931966124
773,1073,0.45789774441654724
774,1074,0.47143132957029316
775,1075,0.4493519810796116
776,1076,0.46614947335857615
777,1077,0.4582553365411003
778,1078,0.4575126272153055
779,1079,0.45884380325479096
780,1080,0.45330664070971055
781,1081,0.4411499761415385
782,1082,0.4480247629128205
783,1083,0.4550395140553846
784,1084,0.4404904632400001
785,1085,0.452149984084127
786,1086,0.42265499955714286
787,1087,0.4328251850734177
788,1088,0.4531254913075949
789,1089,0.4427382613240506
790,1090,0.42506852395924527
791,1091,0.45021568467232703
792,1092,0.44496928363371063
793,1093,0.39104607388
794,1094,0.4134882957593749
795,1095,0.39911718040124994
796,1096,0.385914537701875
797,1097,0.443863290108785
798,1098,0.3860398590221496
799,1099,0.3899214011405607
800,1100,0.3732164163194444
801,1101,0.38194896133333334
802,1102,0.3604566897361111
803,1103,0.3586570484764615
804,1104,0.3596677515946154
805,1105,0.3895295024990769
806,1106,0.30607896486731706
807,1107,0.3715252000419512
808,1108,0.3196689307655488
809,1109,0.3174378802540245
810,1110,0.36837854852267476
811,1111,0.25500273538042556
812,1112,0.3181258427485714
813,1113,0.2065937657575301
814,1114,0.23081956170225904
815,1115,0.19243241245219878
816,1116,0.15515312080216215
817,1117,0.061394005733351346
818,1118,0.16786533179432436
819,1119,0.0873977133164865
820,1120,0.10967894584385077
821,1121,0.14380372181211942
822,1122,0.06326217892240597
823,1123,0.0993673611623373
824,1124,0.08437049939556214
825,1125,0.11211670584343196
