Wavelength,Responsivity
454.6,0.24314
454.7,0.24323
454.8,0.24332
454.9,0.24341
455.0,0.2435
455.1,0.24359
455.2,0.24368
455.3,0.24377
455.4,0.24386
455.5,0.24395
455.6,0.24404
455.7,0.24413
455.8,0.24422
455.9,0.24431
456.0,0.2444
456.1,0.24449
456.2,0.24458
456.3,0.24467
456.4,0.24476
456.5,0.24485
456.6,0.24494
456.7,0.24503
456.8,0.24512
456.9,0.24521
457.0,0.2453
457.1,0.24539
457.2,0.24548
457.3,0.24557
457.4,0.24566
457.5,0.24575
457.6,0.24584
457.7,0.24593
457.8,0.24602
457.9,0.24611
458.0,0.2462
458.1,0.24629
458.2,0.24638
458.3,0.24647
458.4,0.24656
458.5,0.24665
458.6,0.24674
458.7,0.24683
458.8,0.24692
458.9,0.24701
459.0,0.2471
459.1,0.24719
459.2,0.24728
459.3,0.24737
459.4,0.24746
459.5,0.24755
459.6,0.24764
459.7,0.24773
459.8,0.24782
459.9,0.24791
460.0,0.248
460.1,0.248105
460.2,0.24821
460.3,0.248315
460.4,0.24842
460.5,0.248525
460.6,0.24863
460.7,0.248735
460.8,0.24884
460.9,0.248945
461.0,0.24905
461.1,0.249155
461.2,0.24926
461.3,0.249365
461.4,0.24947
461.5,0.249575
461.6,0.24968
461.7,0.249785
461.8,0.24989
461.9,0.249995
462.0,0.2501
462.1,0.250205
462.2,0.25031
462.3,0.250415
462.4,0.25052
462.5,0.250625
462.6,0.25073
462.7,0.250835
462.8,0.25094
462.9,0.251045
463.0,0.25115
463.1,0.251255
463.2,0.25136
463.3,0.251465
463.4,0.25157
463.5,0.251675
463.6,0.25178
463.7,0.251885
463.8,0.25199
463.9,0.252095
464.0,0.2522
464.1,0.252305
464.2,0.25241
464.3,0.252515
464.4,0.25262
464.5,0.252725
464.6,0.25283
464.7,0.252935
464.8,0.25304
464.9,0.253145
465.0,0.25325
465.1,0.253355
465.2,0.25346
465.3,0.253565
465.4,0.25367
465.5,0.253775
465.6,0.25388
465.7,0.253985
465.8,0.25409
465.9,0.254195
466.0,0.2543
466.1,0.254405
466.2,0.25451
466.3,0.254615
466.4,0.25472
466.5,0.254825
466.6,0.25493
466.7,0.255035
466.8,0.25514
466.9,0.255245
467.0,0.25535
467.1,0.255455
467.2,0.25556
467.3,0.255665
467.4,0.25577
467.5,0.255875
467.6,0.25598
467.7,0.256085
467.8,0.25619
467.9,0.256295
468.0,0.2564
468.1,0.256505
468.2,0.25661
468.3,0.256715
468.4,0.25682
468.5,0.256925
468.6,0.25703
468.7,0.257135
468.8,0.25724
468.9,0.257345
469.0,0.25745
469.1,0.257555
469.2,0.25766
469.3,0.257765
469.4,0.25787
469.5,0.257975
469.6,0.25808
469.7,0.258185
469.8,0.25829
469.9,0.258395
470.0,0.2585
470.1,0.258605
470.2,0.25871
470.3,0.258815
