EC-Lab ASCII FILE
Nb header lines : 54                          

Cyclic Voltammetry

Run on channel : 2 (SN 2827)
User : 
Electrode connection : standard
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : 50 kHz
Channel : Floating
Acquisition started on : 09/05/2019 17:27:53
Saved on :
	File : 180_11.4_FTO_02_CV_C02.mpr
	Directory : C:\Data\Justin\09_04_2019_pvd_SnOxCV\
	Host : 192.109.209.127
Device : VSP-300 (SN 0229)
Address : 192.109.209.128
EC-Lab for windows v10.40 (software)
Internet server v10.40 (firmware)
Command interpretor v10.40 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Ei (V)              0.000               
vs.                 Eoc                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              1.500               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0.600              
vs.                 Ref                 
nc cycles           3                   
Reverse Scan        1                   
Ef (V)              0.000               
vs.                 Eoc                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	1	0	1	0	8.6651	0.292639375	0.293065101	0.00044193188808060711	1	1.16543356E-006	22.8278179	1.29514817E-007
2	1	0	1	0	8.7151	0.293639392	0.294116765	0.00044824072493712512	1	1.18891967E-006	22.8278179	1.31835108E-007
2	1	0	1	0	8.7651	0.294639379	0.295112163	0.00045992853928409575	1	1.21272319E-006	22.8278179	1.35730502E-007
2	1	0	1	0	8.8151	0.295639366	0.296132356	0.00046537167455190496	1	1.23678956E-006	22.8278179	1.37811611E-007
2	1	0	1	0	8.8651	0.296639383	0.297124863	0.00046900689078568339	1	1.26118664E-006	22.8278179	1.39353602E-007
2	1	0	1	0	8.9151	0.2976394	0.298145056	0.00047285042462506094	1	1.28587385E-006	22.8278179	1.40978017E-007
2	1	0	1	0	8.9651	0.298639357	0.299313098	0.00048293936486987861	1	1.31083129E-006	22.8278179	1.44550071E-007
2	1	0	1	0	9.0151	0.299639374	0.300079554	0.0004877639394517564	1	1.33612093E-006	22.8278179	1.46367981E-007
2	1	0	1	0	9.0651	0.300639391	0.301116914	0.00049328035998365293	1	1.361724E-006	22.8278179	1.48535065E-007
2	1	0	1	0	9.1151	0.301639378	0.301901489	0.0004990378036853621	1	1.3875823E-006	22.8278179	1.50660256E-007
2	1	0	1	0	9.1651	0.302639365	0.303018957	0.00050431326141093646	1	1.41375119E-006	22.8278179	1.52816483E-007
2	1	0	1	0	9.2151	0.303639382	0.303991437	0.00050860467140241387	1	1.44028149E-006	22.8278179	1.5461147E-007
2	1	0	1	0	9.2651	0.304639369	0.304827541	0.00051807891186736194	1	1.46708123E-006	22.8278179	1.57924717E-007
2	1	0	1	0	9.3151	0.305639386	0.305946946	0.00052517433249266686	1	1.49420259E-006	22.8278179	1.60675484E-007
2	1	0	1	0	9.3651	0.306639373	0.307123542	0.00053110961818203083	1	1.52166092E-006	22.8278179	1.63116269E-007
2	1	0	1	0	9.4151	0.30763939	0.307959646	0.00053658897107838194	1	1.54940221E-006	22.8278179	1.65247755E-007
2	1	0	1	0	9.4651	0.308639377	0.308892995	0.00054350153557067814	1	1.57748991E-006	22.8278179	1.67883812E-007
2	1	0	1	0	9.5151	0.309639364	0.309846461	0.0005526955922471623	1	1.60593186E-006	22.8278179	1.71250775E-007
2	1	0	1	0	9.5651	0.310639381	0.311062157	0.00055872708111969274	1	1.63465086E-006	22.8278179	1.73798853E-007
2	1	0	1	0	9.6151	0.311639398	0.311864853	0.00056284974393579353	1	1.66365965E-006	22.8278179	1.75533046E-007
2	1	0	1	0	9.6651	0.312639356	0.312992841	0.0005670004792153586	1	1.69306088E-006	22.8278179	1.77467086E-007
2	1	0	1	0	9.7151	0.313639373	0.313825101	0.00057720318586183903	1	1.72278374E-006	22.8278179	1.81140848E-007
2	1	0	1	0	9.7651	0.31463939	0.314993143	0.00058021813701661547	1	1.75279672E-006	22.8278179	1.82764737E-007
2	1	0	1	0	9.8151	0.315639406	0.31589216	0.00058955687280912291	1	1.78317566E-006	22.8278179	1.86236392E-007
2	1	0	1	0	9.8651	0.316639364	0.316850364	0.00059357954301554475	1	1.813876E-006	22.8278179	1.88075887E-007
2	1	0	1	0	9.9151	0.317639381	0.317909628	0.00060135621391021197	1	1.84491876E-006	22.8278179	1.91176937E-007
2	1	0	1	0	9.9651	0.318639398	0.318958461	0.0006089083094762103	1	1.87630599E-006	22.8278179	1.94216454E-007
2	1	0	1	0	10.0151	0.319639355	0.32002154	0.00061415374242373001	1	1.90801893E-006	22.8278179	1.9654243E-007
2	1	0	1	0	10.0651	0.320639372	0.320910096	0.00062115897681333304	1	1.9400527E-006	22.8278179	1.99336185E-007
2	1	0	1	0	10.1151	0.321639389	0.321963638	0.00062750630382248269	1	1.97250279E-006	22.8278179	2.02034215E-007
2	1	0	1	0	10.1651	0.322639376	0.322870374	0.0006374879870876364	1	2.00527165E-006	22.8278179	2.05825984E-007
2	1	0	1	0	10.2151	0.323639363	0.323901027	0.0006472591042068071	1	2.03837294E-006	22.8278179	2.09647894E-007
2	1	0	1	0	10.2651	0.32463938	0.32495746	0.00064870379288482598	1	2.07182507E-006	22.8278179	2.10801133E-007
2	1	0	1	0	10.3151	0.325639367	0.325945199	0.00066081651251200576	1	2.10561734E-006	22.8278179	2.15389974E-007
2	1	0	1	0	10.3651	0.326639384	0.326900512	0.00066610576969752637	1	2.13978592E-006	22.8278179	2.17750312E-007
2	1	0	1	0	10.4151	0.327639371	0.327837706	0.00067370039512213223	1	2.17430465E-006	22.8278179	2.20864393E-007
2	1	0	1	0	10.4651	0.328639388	0.328752011	0.0006796901786772086	1	2.20918491E-006	22.8278179	2.23449518E-007
2	1	0	1	0	10.5151	0.329639345	0.329989702	0.00068604861641048329	1	2.24440805E-006	22.8278179	2.26388977E-007
2	1	0	1	0	10.5651	0.330639362	0.330923051	0.00069547099034632243	1	2.27999135E-006	22.8278179	2.30147378E-007
2	1	0	1	0	10.6151	0.331639409	0.331975698	0.00069591603271503856	1	2.31596346E-006	22.8278179	2.31027215E-007
2	1	0	1	0	10.6651	0.332639366	0.332975835	0.00071018787807756913	1	2.35229959E-006	22.8278179	2.36475401E-007
2	1	0	1	0	10.7151	0.333639383	0.334032267	0.00071479128348949164	1	2.3889811E-006	22.8278179	2.38763363E-007
2	1	0	1	0	10.7651	0.33463937	0.334890306	0.00072624908676112432	1	2.42606416E-006	22.8278179	2.43213776E-007
2	1	0	1	0	10.8151	0.335639417	0.335830361	0.000731915561926956	1	2.4634744E-006	22.8278179	2.4579947E-007
2	1	0	1	0	10.8651	0.336639345	0.337127149	0.0007360713977201741	1	2.5012655E-006	22.8278179	2.48149661E-007
